%time,field.left,field.right
1418801822533398908,0.0,0.0
1418801822633425381,0.0,0.0
1418801822733746303,0.0,0.0
1418801822833245026,0.0,0.0
1418801822933349703,0.0,0.0
1418801823033275268,0.0,0.0
1418801823133864188,0.0,0.0
1418801823233258127,0.0,0.0
1418801823333979300,0.0,0.0
1418801823436355287,0.0,0.0
1418801823533250518,0.0,0.0
1418801823633305846,0.0,0.0
1418801823733961883,0.0,0.0
1418801823833287022,0.0,0.0
1418801823933304167,0.0,0.0
1418801824033276767,0.0,0.0
1418801824134055884,0.0,0.0
1418801824233399384,0.0,0.0
1418801824333290802,0.0,0.0
1418801824433301261,0.0,0.0
1418801824533931293,0.0,0.0
1418801824634476564,0.0,0.0
1418801824734194631,0.0,0.0
1418801824833361633,0.0,0.0
1418801824933429071,0.0,0.0
1418801825033293319,0.0,0.0
1418801825133357712,0.0,0.0
1418801825233371023,0.0,0.0
1418801825333316317,0.0,0.0
1418801825433512958,0.0,0.0
1418801825533847901,0.0,0.0
1418801825634550517,0.0,0.0
1418801825734030306,0.0,0.0
1418801825833348461,0.0,0.0
1418801825933387890,0.0,0.0
1418801826033953008,0.0,0.0
1418801826133455049,0.0,0.0
1418801826233301163,0.0,0.0
1418801826333830987,0.0,0.0
1418801826434968640,0.0,0.0
1418801826544259998,0.0,0.0
1418801826633327284,0.0,0.0
1418801826734561936,0.0,0.0
1418801826833352416,0.0,0.0
1418801826942136605,0.0,0.0
1418801827043215195,0.0,0.0
1418801827137530251,0.0,0.0
1418801827233351875,0.0,0.0
1418801827336775141,0.0,0.0
1418801827433179885,0.0,0.0
1418801827582906027,0.0,0.0
1418801827642888622,0.0,0.0
1418801827741030337,0.0,0.0
1418801827874024065,0.0,0.0
1418801827964414717,0.0,0.0
1418801828043993276,0.0,0.0
1418801828154481826,0.0,0.0
1418801828237951700,0.0,0.0
1418801828403391741,0.0,0.0
1418801828434704422,0.0,0.0
1418801828542237630,0.0,0.0
1418801828675792785,0.0,0.0
1418801828736036098,0.0,0.0
1418801828844559576,0.0,0.0
1418801828947343336,0.0,0.0
1418801829033574548,0.0,0.0
1418801829133344866,0.0,0.0
1418801829233729241,0.0,0.0
1418801829333957692,0.0,0.0
1418801829483382273,0.0,0.0
1418801829533457120,0.0,0.0
1418801829633469820,0.0,0.0
1418801829751191913,0.0,0.0
1418801829834385115,0.0,0.0
1418801829933755475,0.0,0.0
1418801830034225781,0.0,0.0
1418801830133595574,0.0,0.0
1418801830287433815,0.0,0.0
1418801830333979427,0.0,0.0
1418801830433317561,0.0,0.0
1418801830607459987,0.0,0.0
1418801830633625420,0.0,0.0
1418801830733344324,0.0,0.0
1418801830926853464,0.0,0.0
1418801830933394721,0.0,0.0
1418801831033319281,0.0,0.0
1418801831251720576,0.0,0.0
1418801831254566200,0.0,0.0
1418801831333457558,0.0,0.0
1418801831433416800,0.0,0.0
1418801831533456128,0.0,0.0
1418801831635353757,0.0,0.0
1418801831733514997,0.0,0.0
1418801831833346060,0.0,0.0
1418801831937288562,0.0,0.0
1418801832033582720,0.0,0.0
1418801832133337106,0.0,0.0
1418801832234245047,-0.165888547897,0.248832821846
1418801832333273984,-2.41525435448,1.74897742271
1418801832434273925,-1.82841682434,1.99463641644
1418801832533851991,-2.32878518105,2.41195607185
1418801832634142972,-2.40846014023,2.57456088066
1418801832734385746,-2.49315071106,2.90867590904
1418801832833363453,-3.2417640686,3.40800833702
1418801832933357069,-3.49075388908,3.74009346962
1418801833033893793,-3.57587265968,3.74219226837
1418801833133386713,-3.4895222187,3.73877382278
1418801833233322190,-3.57275629044,3.57275629044
1418801833333414090,-3.48430490494,3.89910316467
1418801833433350466,-3.58051252365,3.91358327866
1418801833533893861,-3.40891695023,3.74149417877
1418801833637210957,-3.49025893211,3.7395632267
1418801833733781886,-3.49228978157,4.07433795929
1418801833833285937,-3.65695500374,3.82318043709
1418801833933352927,-3.57191538811,3.57191538811
1418801834033607553,-3.49121141434,3.57433533669
1418801834136051877,-3.57131695747,3.73742485046
1418801834233360998,-3.574010849,3.65712738037
1418801834333825160,-3.7396876812,3.65658354759
1418801834433986431,-3.48158478737,3.39868998528
1418801834533993306,-3.16867184639,3.16867184639
1418801834633938429,-2.73893928528,2.48994469643
1418801834733585578,-2.41236662865,2.1628112793
1418801834833938288,-2.24425888062,2.16113805771
1418801834933413897,-2.16042995453,2.07733654976
1418801835033598983,-2.07927012444,1.91292858124
1418801835134653226,-2.07620429993,1.91010808945
1418801835233438504,-2.07785272598,1.99473869801
1418801835333428679,-2.16097187996,1.74540042877
1418801835433421889,-1.99468529224,1.91157341003
1418801835534142224,-1.99417364597,1.91108298302
1418801835638288234,-1.91159439087,1.91159439087
1418801835737765383,-1.82844769955,1.91155898571
1418801835839908027,-1.91206657887,1.99519991875
1418801835945575820,-1.74542140961,2.16099786758
1418801836033812505,-1.82927381992,2.07872033119
1418801836142280784,-1.82747268677,2.07667350769
1418801836235955103,-1.91145706177,1.91145706177
1418801836338267958,-1.82838594913,1.91149449348
1418801836441182464,0.08311047405,1.99465143681
1418801836533610335,0.499054551125,1.58033943176
1418801836635525966,0.581306517124,0.74739408493
1418801836749900997,-0.748685598373,0.499123722315
1418801836839455405,-0.747823774815,1.49564754963
1418801836938121687,-1.07983338833,1.41208982468
1418801837033898808,-0.498604744673,0.997209489346
1418801837157309136,0.0,0.166295051575
1418801837233882468,0.0,0.0
1418801837337276614,0.0,0.0
1418801837433365999,0.0,0.0
1418801837533375375,0.0,0.0
1418801837633410530,0.0,0.0
1418801837734346755,0.0,0.0
1418801837833505586,0.0,0.0
1418801837933861049,0.0,0.0
1418801838033743066,0.0,0.0
1418801838134049389,0.0,0.0
1418801838233482825,0.0,0.0
1418801838333410171,0.0,0.0
1418801838434196473,0.0,0.0
1418801838533557914,0.0,0.0
1418801838633459989,0.0,0.0
1418801838733866808,0.0,0.0
1418801838834446186,0.0,0.0
1418801838933423270,0.0,0.0
1418801839033427695,0.0,0.0
1418801839133438689,0.0,0.0
1418801839233427323,0.0,0.0
1418801839333448658,0.0,0.0
1418801839433590480,0.0,0.0
1418801839537338891,0.0,0.0
1418801839633711917,0.0,0.0
1418801839737618274,0.0,0.0
1418801839839783811,0.0,0.0
1418801839940165495,0.0,0.0
1418801840041531014,0.0,0.0
1418801840133521968,0.0,0.0
1418801840235436798,0.0,0.0
1418801840349567940,0.0,0.0
1418801840434661029,0.0,0.0
1418801840552187648,0.0,0.0
1418801840643310974,0.0,0.0
1418801840733810635,0.0,0.0
1418801840836713244,0.0,0.0
1418801840940113549,0.0,0.0
1418801841045622260,0.0,0.0
1418801841146168919,0.0,0.0
1418801841242577087,0.0,0.0
1418801841337932430,0.0,0.0
1418801841434834951,0.0,0.0
1418801841533512700,0.0,0.0
1418801841642082201,0.0,0.0
1418801841740785534,0.0,0.0
1418801841833464229,0.0,0.0
1418801841933418372,0.0,0.0
1418801842034096151,0.0,0.0
1418801842140625022,0.0,0.0
1418801842238705577,0.0,0.0
1418801842333466279,0.0,0.0
1418801842439486228,0.0,0.0
1418801842534640617,0.0,0.0
1418801842635045005,0.0,0.0
1418801842733641489,0.0,0.0
1418801842835063893,0.0,0.0
1418801842935222380,-1.32927179337,1.08003330231
1418801843034070792,-1.66355741024,1.66355741024
1418801843136145118,-2.15953469276,1.99341666698
1418801843238620889,-2.48793673515,2.48793673515
1418801843336155840,-3.24940443039,2.99945020676
1418801843434828812,-3.40639996529,3.24023413658
1418801843542009766,-3.65850925446,3.409065485
1418801843794792672,-3.82105565071,3.57185649872
1418801843802582904,-3.65701937675,3.57390522957
1418801843833677694,-3.74043345451,3.49107122421
1418801843942598808,-3.74109458923,3.57482361794
1418801844034894096,-3.65729475021,3.57417440414
1418801844155221492,-3.90369176865,3.32229089737
1418801844234491532,-3.74387335777,3.57747912407
1418801844344610363,-3.72946882248,3.56371474266
1418801844444338435,-3.74408578873,3.6608839035
1418801844545661712,-3.912078619,3.4958999157
1418801844634898588,-3.73729348183,3.48814058304
1418801844748541199,-3.98956608772,3.65710234642
1418801844844793213,-3.49050831795,3.73983025551
1418801844933445644,-3.57396101952,3.74019169807
1418801845034126559,-3.49285840988,3.74234819412
1418801845133683239,-3.57086229324,3.81999230385
1418801845235610264,-3.57374215126,3.65685248375
1418801845334077916,-3.74249982834,3.74249982834
1418801845433755722,-3.48481941223,3.40184760094
1418801845551124470,-2.91421842575,3.24727201462
1418801845642526867,-2.90704393387,2.65786862373
1418801845737392454,-2.32739639282,2.57676053047
1418801845840824556,-2.07763695717,2.41005897522
1418801845934033102,-2.07843589783,2.32784819603
1418801846044702133,-1.91218209267,2.16159725189
1418801846133499330,-1.9931589365,1.91011059284
1418801846233481506,-1.99468052387,1.99468052387
1418801846334940594,-1.9948195219,2.07793712616
1418801846433827890,-1.82628417015,2.07532286644
1418801846539003226,-0.998192250729,1.24774026871
1418801846645305924,-0.914271652699,1.66231203079
1418801846747688526,-1.0816334486,1.41444373131
1418801846837253314,-0.91412717104,1.4127420187
1418801846933458232,-0.830492973328,1.24573945999
1418801847038490334,-0.831512212753,1.24726831913
1418801847139220918,-0.913619458675,1.32890105247
1418801847244246959,-0.914193212986,1.16351866722
1418801847341181965,-0.914410054684,1.16379463673
1418801847439529909,-0.914224147797,1.16355800629
1418801847538127275,-0.914775252342,1.33058214188
1418801847633814007,-1.07786750793,1.57534480095
1418801847733802146,-1.08212506771,1.58156752586
1418801847840989057,-1.07974767685,1.49503529072
1418801847934138198,-1.08132815361,1.33086538315
1418801848039928645,-1.24750542641,1.66334056854
1418801848135272596,-1.32884633541,1.74411094189
1418801848239071178,-1.24671447277,1.49605739117
1418801848339675344,-1.32981598377,1.24670243263
1418801848433594540,-1.49591779709,1.3297046423
1418801848533719825,-1.49697291851,1.49697291851
1418801848633504361,-1.57797384262,1.41187131405
1418801848734422405,-1.49259603024,1.65843999386
1418801848834495519,-1.58235943317,1.74892354012
1418801848934423619,-0.914252996445,1.49605035782
