%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1418801832070376607,0.25,0.0,0.0,0.0,0.0,0.0
1418801832306180199,0.267625659704,0.0,0.0,0.0,0.0,0.0526315793395
1418801832560573771,0.40000000596,0.0,0.0,0.0,0.0,0.157894730568
1418801832811294012,0.40000000596,0.0,0.0,0.0,0.0,0.157894730568
1418801833061253985,0.40000000596,0.0,0.0,0.0,0.0,0.157894730568
1418801833309996436,0.40000000596,0.0,0.0,0.0,0.0,0.157894730568
1418801833561217734,0.40000000596,0.0,0.0,0.0,0.0,0.0526315793395
1418801833812688805,0.40000000596,0.0,0.0,0.0,0.0,0.0526315793395
1418801834062736809,0.40000000596,0.0,0.0,0.0,0.0,0.0526315793395
1418801834312900614,0.228661686182,0.0,0.0,0.0,0.0,0.0
1418801834560536916,0.221205845475,0.0,0.0,0.0,0.0,0.0
1418801834809070698,0.20000000298,0.0,0.0,0.0,0.0,0.0
1418801835062654641,0.20000000298,0.0,0.0,0.0,0.0,0.0
1418801835314182243,0.20000000298,0.0,0.0,0.0,0.0,0.0526315793395
1418801835557777704,0.20000000298,0.0,0.0,0.0,0.0,0.157894730568
1418801835821477748,0.20000000298,0.0,0.0,0.0,0.0,0.157894730568
1418801836060650115,0.20000000298,0.0,0.0,0.0,0.0,0.157894730568
1418801836316704692,0.0,0.0,0.0,0.0,0.0,0.473684221506
1418801836559414370,0.165620237589,0.0,0.0,0.0,0.0,0.14381814003
1418801836752276359,0.0,0.0,0.0,0.0,0.0,0.0
1418801842823735113,0.25,0.0,0.0,0.0,0.0,-0.0526315793395
1418801843071876152,0.352395474911,0.0,0.0,0.0,0.0,-0.0526315793395
1418801843325351794,0.40000000596,0.0,0.0,0.0,0.0,-0.0526315793395
1418801843794795673,0.40000000596,0.0,0.0,0.0,0.0,-0.0526315793395
1418801843813534932,0.40000000596,0.0,0.0,0.0,0.0,-0.0526315793395
1418801844075042951,0.40000000596,0.0,0.0,0.0,0.0,-0.0526315793395
1418801844331611155,0.40000000596,0.0,0.0,0.0,0.0,-0.0526315793395
1418801844566999974,0.40000000596,0.0,0.0,0.0,0.0,0.157894730568
1418801844831136211,0.40000000596,0.0,0.0,0.0,0.0,0.157894730568
1418801845069650926,0.40000000596,0.0,0.0,0.0,0.0,0.0526315793395
1418801845312590417,0.228650137782,0.0,0.0,0.0,0.0,0.263157904148
1418801845564730126,0.221341684461,0.0,0.0,0.0,0.0,0.368421047926
1418801845840143275,0.20000000298,0.0,0.0,0.0,0.0,0.0
1418801846069714606,0.20000000298,0.0,0.0,0.0,0.0,0.157894730568
1418801846315380577,0.20000000298,0.0,0.0,0.0,0.0,0.157894730568
1418801846572581376,0.20000000298,0.0,0.0,0.0,0.0,0.0526315793395
1418801846816198608,0.178041636944,0.0,0.0,0.0,0.0,0.0526315793395
1418801847071228218,0.169119939208,0.0,0.0,0.0,0.0,0.0526315793395
1418801847312600110,0.169151380658,0.0,0.0,0.0,0.0,0.0526315793395
1418801847565141692,0.169152870774,0.0,0.0,0.0,0.0,-0.0526315793395
1418801847826044885,0.181603461504,0.0,0.0,0.0,0.0,-0.0526315793395
1418801848076802492,0.176259115338,0.0,0.0,0.0,0.0,-0.157894730568
1418801848319101522,0.183283895254,0.0,0.0,0.0,0.0,-0.263157904148
1418801848562092341,0.185044467449,0.0,0.0,0.0,0.0,-0.157894730568
1418801848754599021,0.0,0.0,0.0,0.0,0.0,0.0
1418801849004588898,0.0,0.0,0.0,0.0,0.0,0.0
1418801849254724500,0.0,0.0,0.0,0.0,0.0,0.0
1418801852589863188,0.0,0.0,0.0,0.0,0.0,1.0
1418801852832001522,0.0,0.0,0.0,0.0,0.0,1.0
1418801853083345277,0.0,0.0,0.0,0.0,0.0,1.0
1418801853331094262,0.0,0.0,0.0,0.0,0.0,1.0
1418801853578228387,0.0,0.0,0.0,0.0,0.0,0.926097691059
1418801853828683522,0.126767486334,0.0,0.0,0.0,0.0,1.0
1418801854083418289,0.0,0.0,0.0,0.0,0.0,0.913045167923
1418801854330598124,0.128525242209,0.0,0.0,0.0,0.0,1.0
1418801854579079922,0.132070332766,0.0,0.0,0.0,0.0,1.0
1418801854831724988,0.0,0.0,0.0,0.0,0.0,0.839188635349
1418801855077529758,0.0,0.0,0.0,0.0,0.0,0.0
1418801856095178347,0.0,0.0,0.0,0.0,0.0,0.0
1418801856280561316,0.0,0.0,0.0,0.0,0.0,0.0
1418801856521962146,0.0,0.0,0.0,0.0,0.0,1.0
1418801856572031022,0.0,0.0,0.0,0.0,0.0,1.0
1418801856626561138,0.0,0.0,0.0,0.0,0.0,1.0
1418801856678320578,0.0,0.0,0.0,0.0,0.0,1.0
1418801856722121577,0.0,0.0,0.0,0.0,0.0,1.0
1418801856770561701,0.0,0.0,0.0,0.0,0.0,1.0
1418801856821881100,0.0,0.0,0.0,0.0,0.0,1.0
1418801856879271728,0.0,0.0,0.0,0.0,0.0,1.0
1418801856924857382,0.0,0.0,0.0,0.0,0.0,1.0
1418801856982700015,0.0,0.0,0.0,0.0,0.0,1.0
1418801857023508235,0.0,0.0,0.0,0.0,0.0,1.0
1418801857073299759,0.0,0.0,0.0,0.0,0.0,1.0
1418801857120145690,0.0,0.0,0.0,0.0,0.0,1.0
1418801857171667658,0.0,0.0,0.0,0.0,0.0,1.0
1418801857220074763,0.0,0.0,0.0,0.0,0.0,1.0
1418801857274956850,0.0,0.0,0.0,0.0,0.0,1.0
1418801857324821679,0.0,0.0,0.0,0.0,0.0,1.0
1418801857370552451,0.0,0.0,0.0,0.0,0.0,1.0
1418801857433370680,0.0,0.0,0.0,0.0,0.0,1.0
1418801857475028167,0.0,0.0,0.0,0.0,0.0,1.0
1418801857526617022,0.0,0.0,0.0,0.0,0.0,1.0
1418801857570516912,0.0,0.0,0.0,0.0,0.0,1.0
1418801857625365381,0.0,0.0,0.0,0.0,0.0,1.0
1418801857675522138,0.0,0.0,0.0,0.0,0.0,1.0
1418801857721608137,0.0,0.0,0.0,0.0,0.0,1.0
1418801857777548175,0.0,0.0,0.0,0.0,0.0,1.0
1418801857826503057,0.0,0.0,0.0,0.0,0.0,1.0
1418801857871108555,0.0,0.0,0.0,0.0,0.0,1.0
1418801857920082813,0.0,0.0,0.0,0.0,0.0,1.0
1418801857970263323,0.0,0.0,0.0,0.0,0.0,1.0
1418801858019964299,0.0,0.0,0.0,0.0,0.0,1.0
1418801858071608144,0.0,0.0,0.0,0.0,0.0,1.0
1418801858120229825,0.0,0.0,0.0,0.0,0.0,1.0
1418801858171006964,0.0,0.0,0.0,0.0,0.0,1.0
1418801858221704787,0.0,0.0,0.0,0.0,0.0,1.0
1418801858269865983,0.0,0.0,0.0,0.0,0.0,1.0
1418801858329410178,0.0,0.0,0.0,0.0,0.0,1.0
1418801858371704849,0.0,0.0,0.0,0.0,0.0,1.0
1418801858422336972,0.0,0.0,0.0,0.0,0.0,1.0
1418801858469853814,0.0,0.0,0.0,0.0,0.0,1.0
1418801858519949022,0.0,0.0,0.0,0.0,0.0,1.0
1418801858569869311,0.0,0.0,0.0,0.0,0.0,1.0
1418801858620121660,0.0,0.0,0.0,0.0,0.0,1.0
1418801858670099616,0.0,0.0,0.0,0.0,0.0,1.0
1418801858719834215,0.0,0.0,0.0,0.0,0.0,1.0
1418801858769953555,0.0,0.0,0.0,0.0,0.0,1.0
